,stormNumber,initial_phase,main_phase,minimumSymH,end_recovery_phase,min_SYM_H,ifCME,ifHSS,ifcomplex,Unnamed: 9,new_begining_times,new_ending_times
119,12,2000-05-29 12:53:00,2000-05-29 16:37:00,2000-05-29 21:37:00,2000-06-01 21:27:00,-59,,HSS,,,2000-05-29 12:53:00,2000-06-01 21:27:00
120,13,2000-06-08 02:06:00,2000-06-08 09:58:00,2000-06-08 18:56:00,2000-06-11 17:44:00,-90,ICME,,,,2000-06-08 02:06:00,2000-06-11 17:44:00
121,14,2000-06-25 20:21:00,2000-06-26 03:16:00,2000-06-26 17:46:00,2000-06-30 23:05:00,-80,ICME,,,,2000-06-25 20:21:00,2000-06-29 17:46:00
122,15,2000-07-15 12:50:00,2000-07-15 15:57:00,2000-07-15 21:54:00,2000-07-19 18:09:00,-347,ICME,,,,2000-07-15 12:50:00,2000-07-18 21:54:00
123,16,2000-07-23 17:20:00,2000-07-23 20:08:00,2000-07-23 22:48:00,2000-07-25 07:06:00,-70,ICME,HSS,complex,,2000-07-23 17:20:00,2000-07-25 07:06:00
124,17,2000-07-28 01:50:00,2000-07-28 10:01:00,2000-07-29 11:22:00,2000-07-31 07:14:00,-87,ICME,,,,2000-07-28 01:50:00,2000-07-31 07:14:00
125,18,2000-08-05 01:18:00,2000-08-05 05:59:00,2000-08-06 05:15:00,2000-08-08 18:41:00,-63,,HSS,,,2000-08-05 01:18:00,2000-08-08 18:41:00
126,19,2000-08-11 18:34:00,2000-08-12 02:26:00,2000-08-12 10:06:00,2000-08-14 22:19:00,-235,ICME,,,,2000-08-11 18:34:00,2000-08-14 22:19:00
127,20,2000-08-28 00:17:00,2000-08-28 10:32:00,2000-08-29 06:42:00,2000-08-30 18:56:00,-63,,HSS,,,2000-08-28 00:17:00,2000-08-30 18:56:00
128,21,2000-09-10 23:13:00,2000-09-12 04:18:00,2000-09-12 19:06:00,2000-09-15 04:49:00,-67,,HSS,,,2000-09-11 15:18:00,2000-09-15 04:49:00
129,22,2000-09-17 11:10:00,2000-09-17 20:27:00,2000-09-18 00:24:00,2000-09-23 22:21:00,-203,ICME,,,,2000-09-17 11:10:00,2000-09-21 00:24:00
130,23,2000-09-28 19:06:00,2000-09-29 11:14:00,2000-09-30 13:40:00,2000-10-02 05:37:00,-72,,HSS,complex,,2000-09-28 22:14:00,2000-10-02 05:37:00
131,24,2000-10-03 16:13:00,2000-10-04 01:11:00,2000-10-05 13:45:00,2000-10-08 13:12:00,-187,ICME,HSS,complex,,2000-10-03 16:13:00,2000-10-08 13:12:00
132,25,2000-10-12 20:46:00,2000-10-13 00:46:00,2000-10-14 14:33:00,2000-10-16 22:05:00,-101,ICME,,,,2000-10-12 20:46:00,2000-10-16 22:05:00
133,26,2000-10-28 07:43:00,2000-10-28 11:30:00,2000-10-29 02:38:00,2000-10-31 17:15:00,-121,ICME,,,,2000-10-28 07:43:00,2000-10-31 17:15:00
134,27,2000-11-06 06:53:00,2000-11-06 10:00:00,2000-11-06 21:04:00,2000-11-08 03:44:00,-176,ICME,,,,2000-11-06 06:53:00,2000-11-08 03:44:00
135,28,2000-11-09 09:25:00,2000-11-10 08:36:00,2000-11-10 12:32:00,2000-11-13 20:54:00,-107,ICME,,,,2000-11-09 19:36:00,2000-11-13 12:32:00
136,29,2000-11-26 03:44:00,2000-11-26 19:32:00,2000-11-29 13:50:00,2000-12-03 04:21:00,-128,ICME,HSS,complex,,2000-11-26 06:32:00,2000-12-02 13:50:00
137,30,2000-12-22 16:21:00,2000-12-22 22:27:00,2000-12-23 04:28:00,2000-12-24 17:02:00,-70,ICME,,,,2000-12-22 16:21:00,2000-12-24 17:02:00
138,0,2001-01-02 19:54:00,2001-01-03 02:11:00,2001-01-03 05:42:00,2001-01-04 11:22:00,-55,ICME,HSS,complex,,2001-01-02 19:54:00,2001-01-04 11:22:00
139,1,2001-01-23 09:31:00,2001-01-23 13:21:00,2001-01-24 18:24:00,2001-01-28 14:59:00,-78,ICME,,,,2001-01-23 09:31:00,2001-01-27 18:24:00
140,2,2001-01-31 07:14:00,2001-01-31 08:24:00,2001-01-31 16:31:00,2001-02-03 06:21:00,-62,ICME,,,,2001-01-31 07:14:00,2001-02-03 06:21:00
141,3,2001-02-13 01:09:00,2001-02-13 05:09:00,2001-02-13 21:26:00,2001-02-16 17:41:00,-56,,HSS,,,2001-02-13 01:09:00,2001-02-16 17:41:00
142,4,2001-03-03 10:03:00,2001-03-03 12:37:00,2001-03-05 01:05:00,2001-03-06 18:33:00,-80,ICME,HSS,complex,,2001-03-03 10:03:00,2001-03-06 18:33:00
143,5,2001-03-18 15:34:00,2001-03-19 00:44:00,2001-03-20 13:20:00,2001-03-22 13:42:00,-165,ICME,,,,2001-03-18 15:34:00,2001-03-22 13:42:00
144,6,2001-03-30 19:52:00,2001-03-31 04:45:00,2001-03-31 08:06:00,2001-04-04 06:40:00,-437,ICME,,,,2001-03-30 19:52:00,2001-04-03 08:06:00
145,7,2001-04-11 12:01:00,2001-04-11 16:03:00,2001-04-11 23:57:00,2001-04-13 09:56:00,-280,ICME,,,,2001-04-11 12:01:00,2001-04-13 09:56:00
146,8,2001-04-17 22:59:00,2001-04-18 02:03:00,2001-04-18 06:03:00,2001-04-20 20:44:00,-122,ICME,,,,2001-04-17 22:59:00,2001-04-20 20:44:00
147,9,2001-04-21 11:04:00,2001-04-22 03:01:00,2001-04-23 10:02:00,2001-04-25 06:17:00,-77,ICME,,,,2001-04-21 14:01:00,2001-04-25 06:17:00
148,10,2001-05-07 22:27:00,2001-05-08 12:06:00,2001-05-10 05:47:00,2001-05-18 08:47:00,-90,,HSS,,,2001-05-07 23:06:00,2001-05-13 05:47:00
149,11,2001-06-17 17:27:00,2001-06-18 04:10:00,2001-06-18 08:01:00,2001-06-19 16:15:00,-84,ICME,,,,2001-06-17 17:27:00,2001-06-19 16:15:00
150,12,2001-07-30 21:44:00,2001-07-31 03:54:00,2001-07-31 06:33:00,2001-08-01 13:37:00,-51,,HSS,,,2001-07-30 21:44:00,2001-08-01 13:37:00
151,13,2001-08-17 08:34:00,2001-08-17 17:18:00,2001-08-17 21:16:00,2001-08-19 06:42:00,-131,ICME,,,,2001-08-17 08:34:00,2001-08-19 06:42:00
152,14,2001-09-12 23:32:00,2001-09-13 02:42:00,2001-09-13 07:11:00,2001-09-14 02:05:00,-73,ICME,,,,2001-09-12 23:32:00,2001-09-14 02:05:00
153,15,2001-09-25 17:54:00,2001-09-25 22:20:00,2001-09-26 01:17:00,2001-09-29 00:15:00,-118,ICME,,,,2001-09-25 17:54:00,2001-09-29 00:15:00
154,16,2001-10-03 01:10:00,2001-10-03 06:50:00,2001-10-03 14:26:00,2001-10-05 13:59:00,-188,ICME,,,,2001-10-03 01:10:00,2001-10-05 13:59:00
155,17,2001-10-11 14:12:00,2001-10-11 17:39:00,2001-10-12 03:25:00,2001-10-15 01:12:00,-89,ICME,,,,2001-10-11 14:12:00,2001-10-15 01:12:00
156,18,2001-10-21 12:35:00,2001-10-21 17:09:00,2001-10-21 21:28:00,2001-10-25 08:51:00,-219,ICME,,,,2001-10-21 12:35:00,2001-10-24 21:28:00
157,19,2001-10-28 00:50:00,2001-10-28 03:33:00,2001-10-28 11:24:00,2001-10-31 13:49:00,-150,ICME,,,,2001-10-28 00:50:00,2001-10-31 11:24:00
158,20,2001-11-05 07:19:00,2001-11-05 20:00:00,2001-11-06 04:06:00,2001-11-12 10:11:00,-320,ICME,,,,2001-11-05 07:19:00,2001-11-09 04:06:00
159,21,2001-11-24 02:45:00,2001-11-24 06:44:00,2001-11-24 12:37:00,2001-11-29 01:20:00,-234,ICME,,,,2001-11-24 02:45:00,2001-11-27 12:37:00
160,22,2001-12-21 08:28:00,2001-12-21 14:41:00,2001-12-21 23:06:00,2001-12-23 18:50:00,-65,,HSS,,,2001-12-21 08:28:00,2001-12-23 18:50:00
161,23,2001-12-29 03:38:00,2001-12-30 02:45:00,2001-12-30 05:12:00,2001-12-30 19:09:00,-56,ICME,,,,2001-12-29 13:45:00,2001-12-30 19:09:00
162,0,2002-01-10 01:13:00,2002-01-10 08:47:00,2002-01-11 05:42:00,2002-01-16 12:51:00,-76,ICME,,,,2002-01-10 01:13:00,2002-01-14 05:42:00
163,1,2002-02-01 19:08:00,2002-02-02 01:23:00,2002-02-02 08:55:00,2002-02-02 20:42:00,-90,,HSS,,,2002-02-01 19:08:00,2002-02-02 20:42:00
164,2,2002-03-18 10:53:00,2002-03-19 01:04:00,2002-03-19 06:10:00,2002-03-20 15:01:00,-66,ICME,,,,2002-03-18 12:04:00,2002-03-20 15:01:00
165,3,2002-03-23 07:09:00,2002-03-23 12:39:00,2002-03-24 08:48:00,2002-03-25 17:06:00,-114,ICME,,,,2002-03-23 07:09:00,2002-03-25 17:06:00
166,4,2002-03-29 20:22:00,2002-03-30 04:24:00,2002-04-02 07:59:00,2002-04-05 10:45:00,-67,ICME,HSS,complex,,2002-03-29 20:22:00,2002-04-05 07:59:00
167,5,2002-04-19 06:25:00,2002-04-19 11:39:00,2002-04-20 06:01:00,2002-04-23 04:49:00,-185,ICME,,,,2002-04-19 06:25:00,2002-04-23 04:49:00
168,6,2002-05-11 08:13:00,2002-05-11 12:41:00,2002-05-11 19:57:00,2002-05-13 14:54:00,-110,ICME,,,,2002-05-11 08:13:00,2002-05-13 14:54:00
169,7,2002-05-23 07:42:00,2002-05-23 12:16:00,2002-05-23 17:00:00,2002-05-27 03:15:00,-116,ICME,,,,2002-05-23 07:42:00,2002-05-26 17:00:00
170,8,2002-06-01 04:01:00,2002-06-01 23:37:00,2002-06-03 00:05:00,2002-06-07 04:26:00,-51,,HSS,,,2002-06-01 10:37:00,2002-06-06 00:05:00
171,9,2002-07-04 17:57:00,2002-07-05 18:19:00,2002-07-06 05:18:00,2002-07-10 19:32:00,-60,,HSS,,,2002-07-05 05:19:00,2002-07-09 05:18:00
172,10,2002-07-12 00:15:00,2002-07-12 05:40:00,2002-07-12 10:32:00,2002-07-15 06:24:00,-59,ICME,,,,2002-07-12 00:15:00,2002-07-15 06:24:00
173,11,2002-07-19 12:58:00,2002-07-19 16:40:00,2002-07-22 11:38:00,2002-07-25 16:15:00,-58,ICME,,,,2002-07-19 12:58:00,2002-07-25 11:38:00
174,12,2002-07-31 20:35:00,2002-08-01 23:50:00,2002-08-02 04:53:00,2002-08-05 23:22:00,-115,ICME,HSS,complex,,2002-08-01 10:50:00,2002-08-05 04:53:00
175,13,2002-08-18 16:05:00,2002-08-18 22:55:00,2002-08-21 05:24:00,2002-08-25 08:34:00,-119,ICME,,,,2002-08-18 16:05:00,2002-08-24 05:24:00
176,14,2002-08-29 19:32:00,2002-08-29 21:52:00,2002-08-30 06:50:00,2002-08-30 15:46:00,-50,ICME,HSS,complex,,2002-08-29 19:32:00,2002-08-30 15:46:00
177,15,2002-09-07 04:52:00,2002-09-07 13:01:00,2002-09-07 23:57:00,2002-09-09 19:55:00,-168,ICME,,,,2002-09-07 04:52:00,2002-09-09 19:55:00
178,16,2002-09-30 06:07:00,2002-10-01 06:16:00,2002-10-01 12:53:00,2002-10-03 09:48:00,-154,ICME,,,,2002-09-30 17:16:00,2002-10-03 09:48:00
179,17,2002-10-06 20:10:00,2002-10-07 02:13:00,2002-10-07 07:15:00,2002-10-11 12:37:00,-94,ICME,HSS,complex,,2002-10-06 20:10:00,2002-10-10 07:15:00
180,18,2002-10-13 10:07:00,2002-10-13 21:06:00,2002-10-14 13:50:00,2002-10-15 08:29:00,-88,,HSS,,,2002-10-13 10:07:00,2002-10-15 08:29:00
181,19,2002-10-23 08:16:00,2002-10-24 01:31:00,2002-10-24 20:35:00,2002-10-26 10:09:00,-88,,HSS,,,2002-10-23 12:31:00,2002-10-26 10:09:00
182,20,2002-11-01 11:42:00,2002-11-02 02:22:00,2002-11-03 17:27:00,2002-11-08 23:34:00,-74,,HSS,,bz fluctiations,2002-11-01 13:22:00,2002-11-06 17:27:00
183,21,2002-11-19 17:22:00,2002-11-21 03:05:00,2002-11-21 10:14:00,2002-11-26 21:40:00,-127,ICME,,,,2002-11-20 14:05:00,2002-11-24 10:14:00
184,22,2002-11-26 17:40:00,2002-11-26 22:42:00,2002-11-27 11:20:00,2002-11-29 16:52:00,-53,ICME,,,,2002-11-26 17:40:00,2002-11-29 16:52:00
185,23,2002-12-18 23:45:00,2002-12-19 08:36:00,2002-12-21 03:18:00,2002-12-22 13:02:00,-90,ICME,HSS,,,2002-12-18 23:45:00,2002-12-22 13:02:00
186,24,2002-12-26 07:24:00,2002-12-26 22:10:00,2002-12-27 04:04:00,2002-12-31 23:59:00,-84,,HSS,,,2002-12-26 09:10:00,2002-12-30 04:04:00
187,1,2003-02-01 13:36:00,2003-02-01 18:46:00,2003-02-02 15:24:00,2003-02-04 01:17:00,-84,ICME,,,,2003-02-01 13:36:00,2003-02-04 01:17:00
188,2,2003-03-02 19:47:00,2003-03-03 15:37:00,2003-03-04 00:11:00,2003-03-08 03:15:00,-76,,,,,2003-03-03 02:37:00,2003-03-07 00:11:00
189,3,2003-04-07 21:33:00,2003-04-08 04:29:00,2003-04-09 07:31:00,2003-04-09 22:52:00,-51,,HSS,,,2003-04-07 21:33:00,2003-04-09 22:52:00
190,4,2003-04-20 08:47:00,2003-04-20 22:36:00,2003-04-23 08:45:00,2003-04-27 03:16:00,-58,,HSS,,,2003-04-20 09:36:00,2003-04-26 08:45:00
191,5,2003-04-29 02:18:00,2003-04-29 08:05:00,2003-05-01 00:50:00,2003-05-03 06:48:00,-94,,HSS,,,2003-04-29 02:18:00,2003-05-03 06:48:00
192,6,2003-05-09 05:21:00,2003-05-09 08:01:00,2003-05-10 07:37:00,2003-05-12 00:00:00,-93,ICME,,,,2003-05-09 05:21:00,2003-05-12 00:00:00
193,7,2003-05-21 05:26:00,2003-05-21 16:18:00,2003-05-22 02:15:00,2003-05-24 03:32:00,-74,,HSS,,,2003-05-21 05:26:00,2003-05-24 03:32:00
194,8,2003-05-29 15:31:00,2003-05-29 16:38:00,2003-05-30 01:58:00,2003-05-30 16:42:00,-164,ICME,,,,2003-05-29 15:31:00,2003-05-30 16:42:00
195,9,2003-06-15 17:06:00,2003-06-16 09:58:00,2003-06-18 09:12:00,2003-06-20 08:39:00,-163,ICME,HSS,complex,,2003-06-15 20:58:00,2003-06-20 08:39:00
196,10,2003-07-11 07:10:00,2003-07-11 15:24:00,2003-07-12 05:39:00,2003-07-14 17:49:00,-125,,HSS,,,2003-07-11 07:10:00,2003-07-14 17:49:00
197,11,2003-07-26 11:12:00,2003-07-26 17:52:00,2003-07-27 07:41:00,2003-07-28 02:00:00,-70,,HSS,,,2003-07-26 11:12:00,2003-07-28 02:00:00
198,12,2003-08-05 12:38:00,2003-08-06 00:27:00,2003-08-06 06:32:00,2003-08-07 04:28:00,-60,ICME,HSS,complex,,2003-08-05 12:38:00,2003-08-07 04:28:00
199,13,2003-08-17 06:33:00,2003-08-17 16:20:00,2003-08-18 14:32:00,2003-08-21 02:06:00,-139,ICME,,,,2003-08-17 06:33:00,2003-08-21 02:06:00
200,14,2003-09-14 23:36:00,2003-09-16 00:59:00,2003-09-17 23:24:00,2003-09-23 22:18:00,-77,,HSS,,,2003-09-15 11:59:00,2003-09-20 23:24:00
201,15,2003-09-23 20:02:00,2003-09-23 22:26:00,2003-09-24 07:34:00,2003-09-28 07:41:00,-68,,HSS,,,2003-09-23 20:02:00,2003-09-27 07:34:00
202,16,2003-10-01 12:46:00,2003-10-01 20:46:00,2003-10-01 22:58:00,2003-10-02 22:56:00,-53,,HSS,,,2003-10-01 12:46:00,2003-10-02 22:56:00
203,17,2003-10-14 11:19:00,2003-10-14 15:43:00,2003-10-14 23:01:00,2003-10-16 22:16:00,-103,ICME,,,,2003-10-14 11:19:00,2003-10-16 22:16:00
204,18,2003-10-19 06:45:00,2003-10-20 18:48:00,2003-10-22 06:22:00,2003-10-23 21:16:00,-75,,HSS,,,2003-10-20 05:48:00,2003-10-23 21:16:00
205,19,2003-10-27 22:57:00,2003-10-29 06:53:00,2003-10-30 22:55:00,2003-11-03 16:59:00,-432,ICME,,,,2003-10-28 17:53:00,2003-11-02 22:55:00
206,20,2003-11-15 00:27:00,2003-11-15 06:23:00,2003-11-15 16:19:00,2003-11-18 22:01:00,-57,ICME,,,,2003-11-15 00:27:00,2003-11-18 16:19:00
207,21,2003-11-20 01:38:00,2003-11-20 08:13:00,2003-11-20 18:18:00,2003-11-22 12:38:00,-490,ICME,,,,2003-11-20 01:38:00,2003-11-22 12:38:00
208,22,2003-12-04 07:57:00,2003-12-05 03:46:00,2003-12-05 11:19:00,2003-12-14 15:43:00,-60,,HSS,,,2003-12-04 14:46:00,2003-12-08 11:19:00
209,23,2003-12-08 06:59:00,2003-12-10 09:21:00,2003-12-10 22:39:00,2003-12-17 11:38:00,-72,,HSS,,,2003-12-09 20:21:00,2003-12-13 22:39:00
210,0,2004-01-21 22:57:00,2004-01-22 10:56:00,2004-01-22 13:25:00,2004-01-24 04:24:00,-137,ICME,,,,2004-01-21 22:57:00,2004-01-24 04:24:00
211,1,2004-02-10 18:42:00,2004-02-11 03:11:00,2004-02-11 17:13:00,2004-02-21 01:39:00,-107,ICME,,,,2004-02-10 18:42:00,2004-02-14 17:13:00
212,2,2004-03-08 15:21:00,2004-03-09 12:42:00,2004-03-10 05:30:00,2004-03-19 21:43:00,-101,,HSS,,,2004-03-08 23:42:00,2004-03-13 05:30:00
213,3,2004-03-25 04:53:00,2004-03-25 18:08:00,2004-03-28 04:51:00,2004-04-02 23:10:00,-64,,HSS,,,2004-03-25 05:08:00,2004-03-31 04:51:00
214,4,2004-04-03 12:47:00,2004-04-03 15:10:00,2004-04-04 00:44:00,2004-04-05 13:02:00,-149,ICME,,,,2004-04-03 12:47:00,2004-04-05 13:02:00
215,5,2004-04-08 22:58:00,2004-04-09 02:37:00,2004-04-09 04:05:00,2004-04-10 20:12:00,-51,ICME,,,,2004-04-08 22:58:00,2004-04-10 20:12:00
216,6,2004-04-30 15:39:00,2004-04-30 20:17:00,2004-04-30 22:28:00,2004-05-02 10:48:00,-54,,HSS,,bz fluctiations,2004-04-30 15:39:00,2004-05-02 10:48:00
217,7,2004-05-10 18:58:00,2004-05-10 23:56:00,2004-05-12 04:00:00,2004-05-14 21:02:00,-55,,HSS,,,2004-05-10 18:58:00,2004-05-14 21:02:00
218,8,2004-06-13 04:16:00,2004-06-14 07:12:00,2004-06-15 07:51:00,2004-06-18 05:21:00,-52,,HSS,,,2004-06-13 18:12:00,2004-06-18 05:21:00
219,9,2004-07-16 21:37:00,2004-07-16 22:44:00,2004-07-17 02:42:00,2004-07-19 13:10:00,-93,ICME,,,,2004-07-16 21:37:00,2004-07-19 13:10:00
220,10,2004-07-26 18:40:00,2004-07-26 23:02:00,2004-07-27 13:35:00,2004-08-04 07:19:00,-208,ICME,,,,2004-07-26 18:40:00,2004-07-30 13:35:00
221,11,2004-08-29 08:49:00,2004-08-30 02:27:00,2004-08-30 22:53:00,2004-09-04 00:50:00,-128,ICME,,,,2004-08-29 13:27:00,2004-09-02 22:53:00
222,12,2004-09-13 17:56:00,2004-09-14 01:08:00,2004-09-14 22:16:00,2004-09-19 00:04:00,-59,ICME,,,,2004-09-13 17:56:00,2004-09-17 22:16:00
223,13,2004-10-12 17:48:00,2004-10-12 21:09:00,2004-10-13 07:54:00,2004-10-17 02:05:00,-64,,HSS,,,2004-10-12 17:48:00,2004-10-16 07:54:00
224,14,2004-10-29 10:54:00,2004-10-29 14:37:00,2004-10-30 08:52:00,2004-10-31 22:54:00,-50,,HSS,,,2004-10-29 10:54:00,2004-10-31 22:54:00
225,15,2004-11-07 01:42:00,2004-11-07 20:47:00,2004-11-08 05:55:00,2004-11-09 07:17:00,-394,ICME,,,,2004-11-07 07:47:00,2004-11-09 07:17:00
226,16,2004-11-09 16:56:00,2004-11-09 18:51:00,2004-11-09 21:03:00,2004-11-11 18:10:00,-271,ICME,,,,2004-11-09 16:56:00,2004-11-11 18:10:00
227,17,2004-11-11 05:20:00,2004-11-11 21:59:00,2004-11-14 02:10:00,2004-11-19 14:39:00,-63,,HSS,complex,,2004-11-11 08:59:00,2004-11-17 02:10:00
228,18,2004-12-12 19:04:00,2004-12-12 23:32:00,2004-12-13 04:41:00,2004-12-16 02:17:00,-58,ICME,,,,2004-12-12 19:04:00,2004-12-16 02:17:00
229,0,2005-01-01 10:01:00,2005-01-01 17:49:00,2005-01-02 21:38:00,2005-01-04 13:34:00,-64,,HSS,,,2005-01-01 10:01:00,2005-01-04 13:34:00
230,1,2005-01-07 08:12:00,2005-01-07 14:23:00,2005-01-08 00:05:00,2005-01-09 10:42:00,-112,ICME,,,,2005-01-07 08:12:00,2005-01-09 10:42:00
231,2,2005-01-16 12:54:00,2005-01-16 21:47:00,2005-01-18 08:20:00,2005-01-21 17:11:00,-107,ICME,,,,2005-01-16 12:54:00,2005-01-21 08:20:00
232,3,2005-02-07 06:34:00,2005-02-07 09:37:00,2005-02-07 21:29:00,2005-02-14 01:42:00,-68,,HSS,,,2005-02-07 06:34:00,2005-02-10 21:29:00
233,4,2005-02-17 20:03:00,2005-02-17 23:01:00,2005-02-18 01:56:00,2005-02-22 09:42:00,-95,ICME,,,,2005-02-17 20:03:00,2005-02-21 01:56:00
234,5,2005-03-04 19:42:00,2005-03-05 05:49:00,2005-03-07 00:19:00,2005-03-10 20:56:00,-66,,HSS,,,2005-03-04 19:42:00,2005-03-10 00:19:00
235,6,2005-04-03 15:29:00,2005-04-04 15:01:00,2005-04-05 02:40:00,2005-04-09 16:50:00,-93,,HSS,,,2005-04-04 02:01:00,2005-04-08 02:40:00
236,7,2005-04-11 09:44:00,2005-04-11 18:02:00,2005-04-12 05:40:00,2005-04-17 20:36:00,-80,,HSS,,,2005-04-11 09:44:00,2005-04-15 05:40:00
237,8,2005-04-19 18:58:00,2005-04-20 03:46:00,2005-04-20 05:45:00,2005-04-22 15:15:00,-50,,HSS,,,2005-04-19 18:58:00,2005-04-22 15:15:00
